city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Ostrov,44.1020,27.4017,Romania,RO,Constanţa,,5069,5069
Isaccea,45.2697,28.4597,Romania,RO,Tulcea,,5026,5026
Băile Herculane,44.8772,22.4175,Romania,RO,Caraş-Severin,,5008,5008
Milişăuţi,47.7864,26.0044,Romania,RO,Suceava,,5005,5005
Cavnic,47.6608,23.8778,Romania,RO,Maramureş,,4976,4976
Fierbinţi-Târg,44.6833,26.3833,Romania,RO,Ilfov,,4969,4969
Săliştea de Sus,47.6497,24.3500,Romania,RO,Maramureş,,4893,4893
Bălceşti,44.6132,23.9256,Romania,RO,Vâlcea,,4864,4864
Berbeşti,44.9882,23.8682,Romania,RO,Vâlcea,,4836,4836
Predeal,45.5047,25.5786,Romania,RO,Braşov,,4755,4755
Comloşu Mare,45.8850,20.6523,Romania,RO,Timiş,,4737,4737
Ghimbav,45.6628,25.5061,Romania,RO,Braşov,,4698,4698
Azuga,45.4450,25.5553,Romania,RO,Prahova,,4440,4440
Ţicleni,44.8842,23.3964,Romania,RO,Gorj,,4414,4414
Aninoasa,45.3782,23.3337,Romania,RO,Hunedoara,,4360,4360
Victoria,47.2860,27.5976,Romania,RO,Iaşi,,4282,4282
Bucecea,47.7667,26.4333,Romania,RO,Botoşani,,4274,4274
Cenad,46.1375,20.5867,Romania,RO,Timiş,,4207,4207
Slănic-Moldova,46.2066,26.4384,Romania,RO,Bacău,,4198,4198
Băile Olăneşti,45.2000,24.2333,Romania,RO,Vâlcea,,4186,4186
Ungheni-Prut,47.2000,27.7833,Romania,RO,Iaşi,,4173,4173
Baia de Arieş,46.3794,23.2797,Romania,RO,Alba,,4074,4074
Drânceni,46.7703,28.1171,Romania,RO,Vaslui,,3973,3973
Borş,47.1169,21.8022,Romania,RO,Bihor,,3946,3946
Miercurea Sibiului,45.8833,23.7833,Romania,RO,Sibiu,,3910,3910
Dorolţ,47.8423,22.7879,Romania,RO,Satu Mare,,3806,3806
Sulina,45.1594,29.6528,Romania,RO,Tulcea,,3663,3663
Bechet,43.7803,23.9568,Romania,RO,Dolj,,3657,3657
Făurei,45.0842,27.2728,Romania,RO,Brăila,,3592,3592
Ocna Sibiului,45.8747,24.0667,Romania,RO,Sibiu,,3562,3562
Ocnele Mari,45.0833,24.3167,Romania,RO,Vâlcea,,3309,3309
Căzăneşti,44.6192,27.0100,Romania,RO,Ialomiţa,,3271,3271
Dragomireşti,47.6669,24.2914,Romania,RO,Maramureş,,3213,3213
Lipniţa,44.0630,27.5515,Romania,RO,Constanţa,,3168,3168
Jamu Mare,45.2571,21.4552,Romania,RO,Timiş,,2971,2971
Bereşti-Târg,46.0936,27.8881,Romania,RO,Galaţi,,2916,2916
Pojejena,44.8059,21.5647,Romania,RO,Caraş-Severin,,2884,2884
Hunedoara,45.7500,22.9000,Romania,RO,Hunedoara,admin,,
